index,name,role,age,market_value,nationality,from_club,from_league,to_club,to_league,transfer_values
1,Kylian Mbappé,Centre-Forward,19,"120,00 Mill. €",France,Monaco,Ligue 1,Paris SG,Ligue 1,"135,00 Mill. €"
2,Cristiano Ronaldo,Centre-Forward,33,"100,00 Mill. €",Portugal,Real Madrid,LaLiga,Juventus,Serie A,"117,00 Mill. €"
3,Kepa,Goalkeeper,23,"20,00 Mill. €",Spain,Athletic,LaLiga,Chelsea,Premier League,"80,00 Mill. €"
4,Thomas Lemar,Left Winger,22,"65,00 Mill. €",France,Monaco,Ligue 1,Atlético Madrid,LaLiga,"70,00 Mill. €"
5,Riyad Mahrez,Right Winger,27,"50,00 Mill. €",Algeria,Leicester,Premier League,Man City,Premier League,"67,80 Mill. €"
6,Naby Keïta,Central Midfield,23,"65,00 Mill. €",Guinea,RB Leipzig,1.Bundesliga,Liverpool,Premier League,"60,00 Mill. €"
7,Thibaut Courtois,Goalkeeper,26,"65,00 Mill. €",Belgium,Chelsea,Premier League,Real Madrid,LaLiga,"35,00 Mill. €"
8,Alisson,Goalkeeper,25,"60,00 Mill. €",Brazil,AS Roma,Serie A,Liverpool,Premier League,"62,50 Mill. €"
9,Fred,Central Midfield,25,"32,00 Mill. €",Brazil,Shakhtar D.,Premier Liga,Man Utd,Premier League,"59,00 Mill. €"
10,Jorginho,Defensive Midfield,26,"50,00 Mill. €",Italy,SSC Napoli,Serie A,Chelsea,Premier League,"57,00 Mill. €"
11,Douglas Costa,Right Winger,27,"55,00 Mill. €",Brazil,Bayern Munich ,1.Bundesliga,Juventus,Serie A,"40,00 Mill. €"
12,Gonzalo Higuaín,Centre-Forward,30,"55,00 Mill. €",Argentina,Juventus,Serie A,AC Milan,Serie A,"Loan fee:18,00 Mill. €"
13,Fabinho,Defensive Midfield,24,"45,00 Mill. €",Brazil,Monaco,Ligue 1,Liverpool,Premier League,"45,00 Mill. €"
14,Radja Nainggolan,Central Midfield,30,"45,00 Mill. €",Belgium,AS Roma,Serie A,Inter,Serie A,"38,00 Mill. €"
15,Vinícius Júnior,Left Winger,18,"35,00 Mill. €",Brazil,Flamengo,Série A,Real Madrid,LaLiga,"45,00 Mill. €"
16,Malcom,Right Winger,21,"45,00 Mill. €",Brazil,G. Bordeaux,Ligue 1,FC Barcelona,LaLiga,"41,00 Mill. €"
17,João Cancelo,Right-Back,24,"35,00 Mill. €",Portugal,Valencia CF,LaLiga,Juventus,Serie A,"40,40 Mill. €"
18,Leon Goretzka,Central Midfield,23,"40,00 Mill. €",Germany,FC Schalke 04,1.Bundesliga,Bayern Munich ,1.Bundesliga,Free Transfer
19,Stefan de Vrij,Centre-Back,26,"40,00 Mill. €",Netherlands,Lazio,Serie A,Inter,Serie A,Free Transfer
20,Paulinho,Central Midfield,30,"40,00 Mill. €",Brazil,FC Barcelona,LaLiga,GZ Evergrande,Super League,Loan
21,Michy Batshuayi,Centre-Forward,24,"40,00 Mill. €",Belgium,Chelsea,Premier League,Valencia CF,LaLiga,"Loan fee:3,00 Mill. €"
22,Tiemoué Bakayoko,Defensive Midfield,24,"40,00 Mill. €",France,Chelsea,Premier League,AC Milan,Serie A,"Loan fee:5,00 Mill. €"
23,Gonçalo Guedes,Left Winger,21,"40,00 Mill. €",Portugal,Paris SG,Ligue 1,Valencia CF,LaLiga,"40,00 Mill. €"
24,Richarlison,Left Winger,21,"25,00 Mill. €",Brazil,Watford,Premier League,Everton,Premier League,"39,20 Mill. €"
25,Felipe Anderson,Right Winger,25,"30,00 Mill. €",Brazil,Lazio,Serie A,West Ham,Premier League,"38,00 Mill. €"
26,Thilo Kehrer,Centre-Back,21,"18,00 Mill. €",Germany,FC Schalke 04,1.Bundesliga,Paris SG,Ligue 1,"37,00 Mill. €"
27,Clément Lenglet,Centre-Back,23,"25,00 Mill. €",France,Sevilla FC,LaLiga,FC Barcelona,LaLiga,"35,90 Mill. €"
28,Gelson Martins,Right Winger,23,"35,00 Mill. €",Portugal,Sporting CP,Liga NOS,Atlético Madrid,LaLiga,Free Transfer
29,Mattia Caldara,Centre-Back,24,"25,00 Mill. €",Italy,Juventus,Serie A,AC Milan,Serie A,"35,00 Mill. €"
30,Leonardo Bonucci,Centre-Back,31,"35,00 Mill. €",Italy,AC Milan,Serie A,Juventus,Serie A,"35,00 Mill. €"
31,Arturo Vidal,Central Midfield,31,"35,00 Mill. €",Chile,Bayern Munich ,1.Bundesliga,FC Barcelona,LaLiga,"18,00 Mill. €"
32,Arthur,Central Midfield,22,"30,00 Mill. €",Brazil,Grêmio,Série A,FC Barcelona,LaLiga,"31,00 Mill. €"
33,Yerry Mina,Centre-Back,23,"20,00 Mill. €",Colombia,FC Barcelona,LaLiga,Everton,Premier League,"30,25 Mill. €"
34,Geoffrey Kondogbia,Central Midfield,25,"30,00 Mill. €",France,Inter,Serie A,Valencia CF,LaLiga,"25,00 Mill. €"
35,Emre Can,Defensive Midfield,24,"30,00 Mill. €",Germany,Liverpool,Premier League,Juventus,Serie A,Free Transfer
36,Fabián Ruiz,Central Midfield,22,"20,00 Mill. €",Spain,Real Betis,LaLiga,SSC Napoli,Serie A,"30,00 Mill. €"
37,Álvaro Odriozola,Right-Back,22,"25,00 Mill. €",Spain,Real Sociedad,LaLiga,Real Madrid,LaLiga,"30,00 Mill. €"
38,Lucas Torreira,Defensive Midfield,22,"30,00 Mill. €",Uruguay,Sampdoria,Serie A,Arsenal,Premier League,"30,00 Mill. €"
39,Jean Michaël Seri,Central Midfield,27,"30,00 Mill. €",Cote d'Ivoire,OGC Nice,Ligue 1,Fulham,Premier League,"30,00 Mill. €"
40,Aleksandr Golovin,Central Midfield,22,"25,00 Mill. €",Russia,CSKA Moscow,Premier Liga,Monaco,Ligue 1,"30,00 Mill. €"
41,Mateo Kovacic,Central Midfield,24,"30,00 Mill. €",Croatia,Real Madrid,LaLiga,Chelsea,Premier League,Loan
42,Keita Baldé,Left Winger,23,"30,00 Mill. €",Senegal,Monaco,Ligue 1,Inter,Serie A,"Loan fee:5,00 Mill. €"
43,Steven Nzonzi,Defensive Midfield,29,"30,00 Mill. €",France,Sevilla FC,LaLiga,AS Roma,Serie A,"26,65 Mill. €"
44,Anthony Modeste,Centre-Forward,30,"16,00 Mill. €",France,1. FC Köln,2.Bundesliga,TJ Quanjian,Super League,"29,00 Mill. €"
45,Abdou Diallo,Centre-Back,22,"12,00 Mill. €",France,1.FSV Mainz 05,1.Bundesliga,Bor. Dortmund,1.Bundesliga,"28,00 Mill. €"
46,Jefferson Lerma,Defensive Midfield,23,"2,00 Mill. €",Colombia,Levante UD,LaLiga,Bournemouth,Premier League,"28,00 Mill. €"
47,Kevin Strootman,Central Midfield,28,"28,00 Mill. €",Netherlands,AS Roma,Serie A,Marseille,Ligue 1,"25,00 Mill. €"
48,Bryan Cristante,Central Midfield,23,"25,00 Mill. €",Italy,Benfica,Liga NOS,Atalanta,Serie A,"5,00 Mill. €"
49,Rodri,Defensive Midfield,22,"25,00 Mill. €",Spain,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,"20,00 Mill. €"
50,Simone Verdi,Right Winger,26,"25,00 Mill. €",Italy,Bologna,Serie A,SSC Napoli,Serie A,"25,00 Mill. €"
51,Issa Diop,Centre-Back,21,"22,00 Mill. €",France,Toulouse,Ligue 1,West Ham,Premier League,"25,00 Mill. €"
52,Bernd Leno,Goalkeeper,26,"20,00 Mill. €",Germany,Bay. Leverkusen,1.Bundesliga,Arsenal,Premier League,"25,00 Mill. €"
53,James Maddison,Attacking Midfield,21,"10,00 Mill. €",England,Norwich,Championship,Leicester,Premier League,"25,00 Mill. €"
54,Tanguy Ndombélé,Central Midfield,21,"25,00 Mill. €",France,SC Amiens,Ligue 1,Olympique Lyon,Ligue 1,"8,00 Mill. €"
55,Bryan Cristante,Central Midfield,23,"25,00 Mill. €",Italy,Atalanta,Serie A,AS Roma,Serie A,"Loan fee:5,00 Mill. €"
56,Lautaro Martínez,Centre-Forward,21,"25,00 Mill. €",Argentina,Racing Club,Primera División,Inter,Serie A,"16,00 Mill. €"
57,Jannik Vestergaard,Centre-Back,26,"14,00 Mill. €",Denmark,Bor. M'gladbach,1.Bundesliga,Southampton,Premier League,"25,00 Mill. €"
58,William Carvalho,Defensive Midfield,26,"25,00 Mill. €",Portugal,Sporting CP,Liga NOS,Real Betis,LaLiga,"20,00 Mill. €"
59,Paulinho,Left Winger,18,"25,00 Mill. €",Brazil,Vasco da Gama,Série A,Bay. Leverkusen,1.Bundesliga,"18,50 Mill. €"
60,Sime Vrsaljko,Right-Back,26,"25,00 Mill. €",Croatia,Atlético Madrid,LaLiga,Inter,Serie A,"Loan fee:6,50 Mill. €"
61,Samu Castillejo,Right Winger,23,"15,00 Mill. €",Spain,Villarreal CF,LaLiga,AC Milan,Serie A,"25,00 Mill. €"
62,André Zambo Anguissa,Defensive Midfield,22,"18,00 Mill. €",Cameroon,Marseille,Ligue 1,Fulham,Premier League,"24,85 Mill. €"
63,Javier Pastore,Attacking Midfield,29,"15,00 Mill. €",Argentina,Paris SG,Ligue 1,AS Roma,Serie A,"24,70 Mill. €"
64,Yuri Berchiche,Left-Back,28,"17,00 Mill. €",Spain,Paris SG,Ligue 1,Athletic,LaLiga,"24,00 Mill. €"
65,Andriy Yarmolenko,Right Winger,28,"23,00 Mill. €",Ukraine,Bor. Dortmund,1.Bundesliga,West Ham,Premier League,"20,00 Mill. €"
66,Alassane Pléa,Centre-Forward,25,"18,00 Mill. €",France,OGC Nice,Ligue 1,Bor. M'gladbach,1.Bundesliga,"23,00 Mill. €"
67,Ricardo Pereira,Right-Back,24,"20,00 Mill. €",Portugal,FC Porto,Liga NOS,Leicester,Premier League,"22,00 Mill. €"
68,Diogo Dalot,Right-Back,19,"15,00 Mill. €",Portugal,FC Porto,Liga NOS,Man Utd,Premier League,"22,00 Mill. €"
69,Talisca,Attacking Midfield,24,"22,00 Mill. €",Brazil,Benfica,Liga NOS,GZ Evergrande,Super League,Loan
70,Matteo Politano,Right Winger,25,"22,00 Mill. €",Italy,Sassuolo,Serie A,Inter,Serie A,"Loan fee:5,00 Mill. €"
71,André Silva,Centre-Forward,22,"22,00 Mill. €",Portugal,AC Milan,Serie A,Sevilla FC,LaLiga,Loan
72,Simone Zaza,Centre-Forward,27,"22,00 Mill. €",Italy,Valencia CF,LaLiga,Torino,Serie A,"Loan fee:2,00 Mill. €"
73,Caglar Söyüncü,Centre-Back,22,"18,00 Mill. €",Turkey,SC Freiburg,1.Bundesliga,Leicester,Premier League,"21,10 Mill. €"
74,Aleksandar Mitrovic,Centre-Forward,23,"15,00 Mill. €",Serbia,Newcastle,Premier League,Fulham,Premier League,"20,20 Mill. €"
75,Lucas Digne,Left-Back,25,"15,00 Mill. €",France,FC Barcelona,LaLiga,Everton,Premier League,"20,20 Mill. €"
76,Nikola Kalinic,Centre-Forward,30,"14,00 Mill. €",Croatia,Fiorentina,Serie A,AC Milan,Serie A,"20,00 Mill. €"
77,Duván Zapata,Centre-Forward,27,"20,00 Mill. €",Colombia,SSC Napoli,Serie A,Sampdoria,Serie A,"17,00 Mill. €"
78,Patrik Schick,Centre-Forward,22,"20,00 Mill. €",Czech Republic,Sampdoria,Serie A,AS Roma,Serie A,"9,00 Mill. €"
79,Thomas Delaney,Central Midfield,26,"12,00 Mill. €",Denmark,Werder Bremen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,"20,00 Mill. €"
80,Terence Kongolo,Centre-Back,24,"10,00 Mill. €",Netherlands,Monaco,Ligue 1,Huddersfield,Premier League,"20,00 Mill. €"
81,Gerard Moreno,Centre-Forward,26,"20,00 Mill. €",Spain,Espanyol,LaLiga,Villarreal CF,LaLiga,"20,00 Mill. €"
82,Willem Geubbels,Left Winger,17,"6,00 Mill. €",France,Olympique Lyon,Ligue 1,Monaco,Ligue 1,"20,00 Mill. €"
83,Sokratis,Centre-Back,30,"20,00 Mill. €",Greece,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,"16,00 Mill. €"
84,Jack Wilshere,Central Midfield,26,"20,00 Mill. €",England,Arsenal,Premier League,West Ham,Premier League,Free Transfer
85,Duván Zapata,Centre-Forward,27,"20,00 Mill. €",Colombia,Sampdoria,Serie A,Atalanta,Serie A,"Loan fee:14,00 Mill. €"
86,Rolando Mandragora,Defensive Midfield,21,"10,00 Mill. €",Italy,Juventus,Serie A,Udinese Calcio,Serie A,"20,00 Mill. €"
87,Axel Witsel,Defensive Midfield,29,"20,00 Mill. €",Belgium,TJ Quanjian,Super League,Bor. Dortmund,1.Bundesliga,"20,00 Mill. €"
88,Adama Traoré,Right Winger,22,"8,00 Mill. €",Spain,Middlesbrough,Championship,Wolves,Premier League,"20,00 Mill. €"
89,Kévin Gameiro,Centre-Forward,31,"20,00 Mill. €",France,Atlético Madrid,LaLiga,Valencia CF,LaLiga,"16,00 Mill. €"
90,Benjamin Henrichs,Right-Back,21,"12,00 Mill. €",Germany,Bay. Leverkusen,1.Bundesliga,Monaco,Ligue 1,"20,00 Mill. €"
91,Duje Caleta-Car,Centre-Back,21,"10,00 Mill. €",Croatia,RB Salzburg,Bundesliga,Marseille,Ligue 1,"19,00 Mill. €"
92,Alireza Jahanbakhsh,Right Winger,25,"18,00 Mill. €",Iran,AZ Alkmaar,Eredivisie,Brighton,Premier League,"19,00 Mill. €"
93,Mark Uth,Centre-Forward,27,"18,00 Mill. €",Germany,TSG Hoffenheim,1.Bundesliga,FC Schalke 04,1.Bundesliga,Free Transfer
94,Salif Sané,Centre-Back,28,"18,00 Mill. €",Senegal,Hannover 96,1.Bundesliga,FC Schalke 04,1.Bundesliga,"7,00 Mill. €"
95,Karl Toko Ekambi,Centre-Forward,25,"18,00 Mill. €",Cameroon,SCO Angers,Ligue 1,Villarreal CF,LaLiga,"18,00 Mill. €"
96,Mohamed Elyounoussi,Left Winger,24,"8,50 Mill. €",Norway,FC Basel,Super League,Southampton,Premier League,"18,00 Mill. €"
97,Alban Lafont,Goalkeeper,19,"18,00 Mill. €",France,Toulouse,Ligue 1,Fiorentina,Serie A,"8,50 Mill. €"
98,Xherdan Shaqiri,Right Winger,26,"18,00 Mill. €",Switzerland,Stoke City,Championship,Liverpool,Premier League,"14,70 Mill. €"
99,Daley Blind,Centre-Back,28,"18,00 Mill. €",Netherlands,Man Utd,Premier League,AFC Ajax,Eredivisie,"16,00 Mill. €"
100,Grzegorz Krychowiak,Defensive Midfield,28,"18,00 Mill. €",Poland,Paris SG,Ligue 1,Loko Moscow,Premier Liga,"Loan fee:1,00 Mill. €"
101,Santiago Arias,Right-Back,26,"18,00 Mill. €",Colombia,PSV Eindhoven,Eredivisie,Atlético Madrid,LaLiga,"11,00 Mill. €"
102,Max Meyer,Attacking Midfield,22,"18,00 Mill. €",Germany,FC Schalke 04,1.Bundesliga,Crystal Palace,Premier League,Free Transfer
103,Islam Slimani,Centre-Forward,30,"18,00 Mill. €",Algeria,Leicester,Premier League,Fenerbahce,Süper Lig,"Loan fee:1,50 Mill. €"
104,Diego Laxalt,Left Midfield,25,"18,00 Mill. €",Uruguay,Genoa,Serie A,AC Milan,Serie A,"14,00 Mill. €"
105,Yannick Bolasie,Left Winger,29,"18,00 Mill. €",DR Congo,Everton,Premier League,Aston Villa,Championship,Loan
106,Justin Kluivert,Left Winger,19,"15,00 Mill. €",Netherlands,AFC Ajax,Eredivisie,AS Roma,Serie A,"17,25 Mill. €"
107,Leander Dendoncker,Defensive Midfield,23,"17,00 Mill. €",Belgium,RSC Anderlecht,Jupiler Pro League,Wolves,Premier League,"Loan fee:1,50 Mill. €"
108,Yves Bissouma,Central Midfield,21,"8,00 Mill. €",Mali,LOSC Lille,Ligue 1,Brighton,Premier League,"16,90 Mill. €"
109,Ben Gibson,Centre-Back,25,"10,00 Mill. €",England,Middlesbrough,Championship,Burnley,Premier League,"16,90 Mill. €"
110,Alfie Mawson,Centre-Back,24,"15,00 Mill. €",England,Swansea,Championship,Fulham,Premier League,"16,85 Mill. €"
111,Ahmed Musa,Centre-Forward,25,"15,00 Mill. €",Nigeria,Leicester,Premier League,Al-Nassr,Professional League,"16,50 Mill. €"
112,Jordan Amavi,Left-Back,24,"16,00 Mill. €",France,Aston Villa,Championship,Marseille,Ligue 1,"10,00 Mill. €"
113,Nordi Mukiele,Right-Back,20,"14,00 Mill. €",France,Montpellier,Ligue 1,RB Leipzig,1.Bundesliga,"16,00 Mill. €"
114,Mattia Perin,Goalkeeper,25,"16,00 Mill. €",Italy,Genoa,Serie A,Juventus,Serie A,"12,00 Mill. €"
115,Rui Patrício,Goalkeeper,30,"16,00 Mill. €",Portugal,Sporting CP,Liga NOS,Wolves,Premier League,Free Transfer
116,Bernard,Left Winger,25,"16,00 Mill. €",Brazil,Shakhtar D.,Premier Liga,Everton,Premier League,Free Transfer
117,Sebastian Rudy,Defensive Midfield,28,"15,00 Mill. €",Germany,Bayern Munich ,1.Bundesliga,FC Schalke 04,1.Bundesliga,"16,00 Mill. €"
118,Grégoire Defrel,Centre-Forward,27,"10,00 Mill. €",France,Sassuolo,Serie A,AS Roma,Serie A,"15,00 Mill. €"
119,Jonny Evans,Centre-Back,30,"15,00 Mill. €",Northern Ireland,West Brom,Championship,Leicester,Premier League,"4,00 Mill. €"
120,Raúl Jiménez,Centre-Forward,27,"15,00 Mill. €",Mexico,Benfica,Liga NOS,Wolves,Premier League,"Loan fee:3,00 Mill. €"
121,João Carvalho,Attacking Midfield,21,"2,50 Mill. €",Portugal,Benfica,Liga NOS,Nottm Forest,Championship,"15,00 Mill. €"
122,Matheus Cunha,Centre-Forward,19,"1,50 Mill. €",Brazil,FC Sion,Super League,RB Leipzig,1.Bundesliga,"15,00 Mill. €"
123,Mouctar Diakhaby,Centre-Back,21,"10,00 Mill. €",France,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,"15,00 Mill. €"
124,Ibrahim Amadou,Defensive Midfield,25,"3,50 Mill. €",France,LOSC Lille,Ligue 1,Sevilla FC,LaLiga,"15,00 Mill. €"
125,Dusan Tadic,Attacking Midfield,29,"15,00 Mill. €",Serbia,Southampton,Premier League,AFC Ajax,Eredivisie,"11,40 Mill. €"
126,Jakub Jankto,Central Midfield,22,"15,00 Mill. €",Czech Republic,Udinese Calcio,Serie A,Sampdoria,Serie A,Loan
127,Guido Carrillo,Centre-Forward,27,"15,00 Mill. €",Argentina,Southampton,Premier League,CD Leganés,LaLiga,Loan
128,Daniel Wass,Central Midfield,29,"15,00 Mill. €",Denmark,Celta de Vigo,LaLiga,Valencia CF,LaLiga,"6,00 Mill. €"
129,André Schürrle,Left Winger,27,"15,00 Mill. €",Germany,Bor. Dortmund,1.Bundesliga,Fulham,Premier League,Loan fee:400 Th. €
130,Joris Gnagnon,Centre-Back,21,"15,00 Mill. €",France,Stade Rennais,Ligue 1,Sevilla FC,LaLiga,"15,00 Mill. €"
131,André Ayew,Left Winger,28,"15,00 Mill. €",Ghana,Swansea,Championship,Fenerbahce,Süper Lig,"Loan fee:1,50 Mill. €"
132,Davy Klaassen,Attacking Midfield,25,"15,00 Mill. €",Netherlands,Everton,Premier League,Werder Bremen,1.Bundesliga,"13,50 Mill. €"
133,Milan Badelj,Defensive Midfield,29,"15,00 Mill. €",Croatia,Fiorentina,Serie A,Lazio,Serie A,Free Transfer
134,Joaquín Correa,Left Winger,24,"10,00 Mill. €",Argentina,Sevilla FC,LaLiga,Lazio,Serie A,"15,00 Mill. €"
135,Marko Pjaca,Left Winger,23,"15,00 Mill. €",Croatia,Juventus,Serie A,Fiorentina,Serie A,"Loan fee:2,00 Mill. €"
136,André Gomes,Central Midfield,25,"15,00 Mill. €",Portugal,FC Barcelona,LaLiga,Everton,Premier League,"Loan fee:2,25 Mill. €"
137,Kurt Zouma,Centre-Back,23,"15,00 Mill. €",France,Chelsea,Premier League,Everton,Premier League,"Loan fee:7,90 Mill. €"
138,Theo Hernández,Left-Back,20,"15,00 Mill. €",France,Real Madrid,LaLiga,Real Sociedad,LaLiga,Loan
139,Jeison Murillo,Centre-Back,26,"15,00 Mill. €",Colombia,Inter,Serie A,Valencia CF,LaLiga,"12,00 Mill. €"
140,Badou Ndiaye,Central Midfield,27,"15,00 Mill. €",Senegal,Stoke City,Championship,Galatasaray,Süper Lig,Loan fee:750 Th. €
141,Paco Alcácer,Centre-Forward,24,"15,00 Mill. €",Spain,FC Barcelona,LaLiga,Bor. Dortmund,1.Bundesliga,"Loan fee:2,00 Mill. €"
142,Roger Martínez,Centre-Forward,24,"2,50 Mill. €",Colombia,JS Suning,Super League,Villarreal CF,LaLiga,"14,90 Mill. €"
143,Rodolfo Pizarro,Attacking Midfield,24,"5,50 Mill. €",Mexico,Chivas,Liga MX Apertura,Monterrey,Liga MX Apertura,"14,50 Mill. €"
144,Filip Benkovic,Centre-Back,21,"11,00 Mill. €",Croatia,Dinamo Zagreb,1.HNL,Leicester,Premier League,"14,50 Mill. €"
145,Nikola Kalinic,Centre-Forward,30,"14,00 Mill. €",Croatia,AC Milan,Serie A,Atlético Madrid,LaLiga,"14,50 Mill. €"
146,Diogo Jota,Left Winger,21,"12,00 Mill. €",Portugal,Atlético Madrid,LaLiga,Wolves,Premier League,"14,00 Mill. €"
147,Kwadwo Asamoah,Left-Back,29,"14,00 Mill. €",Ghana,Juventus,Serie A,Inter,Serie A,Free Transfer
148,Gerard Deulofeu,Right Winger,24,"14,00 Mill. €",Spain,FC Barcelona,LaLiga,Watford,Premier League,"13,00 Mill. €"
149,Daniel Ginczek,Centre-Forward,27,"3,50 Mill. €",Germany,VfB Stuttgart,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,"14,00 Mill. €"
150,Danny Ward,Goalkeeper,25,"2,50 Mill. €",Wales,Liverpool,Premier League,Leicester,Premier League,"14,00 Mill. €"
151,Jean-Eudes Aholou,Defensive Midfield,24,"3,00 Mill. €",Cote d'Ivoire,R. Strasbourg,Ligue 1,Monaco,Ligue 1,"14,00 Mill. €"
152,Rachid Ghezzal,Right Winger,26,"4,00 Mill. €",Algeria,Monaco,Ligue 1,Leicester,Premier League,"14,00 Mill. €"
153,Calum Chambers,Centre-Back,23,"14,00 Mill. €",England,Arsenal,Premier League,Fulham,Premier League,Loan
154,Fedor Smolov,Centre-Forward,28,"14,00 Mill. €",Russia,Krasnodar,Premier Liga,Loko Moscow,Premier Liga,"9,00 Mill. €"
155,Germán Pezzella,Centre-Back,27,"13,00 Mill. €",Argentina,Real Betis,LaLiga,Fiorentina,Serie A,"9,00 Mill. €"
156,José Salomón Rondón,Centre-Forward,28,"13,00 Mill. €",Venezuela,West Brom,Championship,Newcastle,Premier League,"Loan fee:2,20 Mill. €"
157,Matej Vydra,Centre-Forward,26,"8,00 Mill. €",Czech Republic,Derby,Championship,Burnley,Premier League,"12,20 Mill. €"
158,M'Baye Niang,Centre-Forward,23,"10,00 Mill. €",Senegal,AC Milan,Serie A,Torino,Serie A,"12,00 Mill. €"
159,Mitchell Weiser,Right-Back,24,"12,00 Mill. €",Germany,Hertha BSC,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,"12,00 Mill. €"
160,Willy Boly,Centre-Back,27,"5,00 Mill. €",France,FC Porto,Liga NOS,Wolves,Premier League,"12,00 Mill. €"
161,Marcelo Saracchi,Left-Back,20,"4,50 Mill. €",Uruguay,River Plate,Primera División,RB Leipzig,1.Bundesliga,"12,00 Mill. €"
162,Alex Meret,Goalkeeper,21,"12,00 Mill. €",Italy,Udinese Calcio,Serie A,SSC Napoli,Serie A,Loan
163,Mikel Merino,Defensive Midfield,22,"10,00 Mill. €",Spain,Newcastle,Premier League,Real Sociedad,LaLiga,"12,00 Mill. €"
164,Sofiane Boufal,Attacking Midfield,24,"12,00 Mill. €",Morocco,Southampton,Premier League,Celta de Vigo,LaLiga,Loan
165,Diego Rico,Left-Back,25,"2,50 Mill. €",Spain,CD Leganés,LaLiga,Bournemouth,Premier League,"12,00 Mill. €"
166,Jonny Castro,Left-Back,24,"12,00 Mill. €",Spain,Celta de Vigo,LaLiga,Atlético Madrid,LaLiga,"7,00 Mill. €"
167,Jonny Castro,Left-Back,24,"12,00 Mill. €",Spain,Atlético Madrid,LaLiga,Wolves,Premier League,Loan
168,Cheikhou Kouyaté,Defensive Midfield,28,"12,00 Mill. €",Senegal,West Ham,Premier League,Crystal Palace,Premier League,"10,70 Mill. €"
169,Aarón Martín,Left-Back,21,"12,00 Mill. €",Spain,Espanyol,LaLiga,1.FSV Mainz 05,1.Bundesliga,"Loan fee:3,00 Mill. €"
170,Kévin Malcuit,Right-Back,27,"7,50 Mill. €",France,LOSC Lille,Ligue 1,SSC Napoli,Serie A,"12,00 Mill. €"
171,Sergio Rico,Goalkeeper,24,"12,00 Mill. €",Spain,Sevilla FC,LaLiga,Fulham,Premier League,Loan
172,Giuliano,Attacking Midfield,28,"12,00 Mill. €",Brazil,Fenerbahce,Süper Lig,Al-Nassr,Professional League,"10,50 Mill. €"
173,Josef,Defensive Midfield,29,"9,00 Mill. €",Brazil,Fenerbahce,Süper Lig,Ahli,Professional League,"12,00 Mill. €"
174,Loris Karius,Goalkeeper,25,"12,00 Mill. €",Germany,Liverpool,Premier League,Besiktas,Süper Lig,"Loan fee:1,00 Mill. €"
175,Benik Afobe,Centre-Forward,25,"10,00 Mill. €",DR Congo,Bournemouth,Premier League,Wolves,Premier League,"11,40 Mill. €"
176,Josh Murphy,Left Winger,23,"1,50 Mill. €",England,Norwich,Championship,Cardiff,Premier League,"11,40 Mill. €"
177,Bobby Reid,Attacking Midfield,25,"3,00 Mill. €",England,Bristol City,Championship,Cardiff,Premier League,"11,35 Mill. €"
178,David Brooks,Attacking Midfield,21,"5,00 Mill. €",Wales,Sheffield Utd.,Championship,Bournemouth,Premier League,"11,30 Mill. €"
179,Angus Gunn,Goalkeeper,22,"2,00 Mill. €",England,Man City,Premier League,Southampton,Premier League,"11,30 Mill. €"
180,Tom Ince,Right Winger,26,"8,00 Mill. €",England,Huddersfield,Premier League,Stoke City,Championship,"11,20 Mill. €"
181,Sergi Darder,Central Midfield,24,"11,00 Mill. €",Spain,Olympique Lyon,Ligue 1,Espanyol,LaLiga,"8,00 Mill. €"
182,Gianluca Lapadula,Centre-Forward,28,"7,00 Mill. €",Italy,AC Milan,Serie A,Genoa,Serie A,"11,00 Mill. €"
183,Yoshinori Muto,Centre-Forward,26,"6,00 Mill. €",Japan,1.FSV Mainz 05,1.Bundesliga,Newcastle,Premier League,"10,70 Mill. €"
184,Suat Serdar,Central Midfield,21,"7,50 Mill. €",Germany,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,"10,50 Mill. €"
185,Wout Weghorst,Centre-Forward,26,"7,00 Mill. €",Netherlands,AZ Alkmaar,Eredivisie,VfL Wolfsburg,1.Bundesliga,"10,50 Mill. €"
186,Odsonne Edouard,Centre-Forward,20,"1,50 Mill. €",France,Paris SG,Ligue 1,Celtic,Premiership,"10,30 Mill. €"
187,Djaniny,Centre-Forward,27,"5,00 Mill. €",Cape Verde,Santos Laguna,Liga MX Apertura,Ahli,Professional League,"10,24 Mill. €"
188,Leonardo Pavoletti,Centre-Forward,29,"9,00 Mill. €",Italy,SSC Napoli,Serie A,Cagliari Calcio,Serie A,"10,00 Mill. €"
189,Mikel Merino,Defensive Midfield,22,"10,00 Mill. €",Spain,Bor. Dortmund,1.Bundesliga,Newcastle,Premier League,"7,00 Mill. €"
190,Ante Rebic,Left Winger,24,"10,00 Mill. €",Croatia,Fiorentina,Serie A,E. Frankfurt,1.Bundesliga,"2,00 Mill. €"
191,Marius Wolf,Right Winger,23,"10,00 Mill. €",Germany,Hannover 96,1.Bundesliga,E. Frankfurt,1.Bundesliga,500 Th. €
